2010-05-26 23:19:56 Notice: Notice (8): Undefined variable: from in [/home/takuji/project/study/views/studies/add.ctp, line 9]
2010-05-27 01:20:14 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:20:14 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:20:15 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:20:15 Notice: Notice (8): Undefined variable: hatena in [/home/takuji/project/study/views/slides/index.ctp, line 18]
2010-05-27 01:20:15 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:20:15 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:20:30 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:20:58 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:20:59 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:23:24 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:23:25 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:23:43 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:26:44 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:26:45 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:26:45 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:26:45 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:26:45 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:26:45 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:27:12 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:27:13 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:27:13 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:27:28 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:27:28 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:27:28 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:29:04 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:29:04 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:29:04 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:29:05 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:29:05 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:29:05 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:29:30 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:29:30 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:29:30 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:29:30 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:29:30 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:29:30 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:29:58 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:29:59 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:29:59 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:30:00 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:30:00 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:30:00 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:30:19 Notice: Notice (8): Undefined offset: 0 in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:30:19 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:30:19 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:31:20 Notice: Notice (8): Undefined index: body in [/home/takuji/project/study/views/slides/index.ctp, line 18]
2010-05-27 01:31:20 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:31:20 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:31:43 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:31:43 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:32:23 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:32:23 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:32:35 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:32:35 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:33:55 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:33:55 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:34:21 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:34:21 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:38:20 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:38:20 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:05:17 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:05:17 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:05:18 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:05:18 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:05:18 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:13:20 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:13:20 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:40:23 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:53:50 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:53:50 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:53:50 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:53:53 Notice: Notice (8): Undefined variable: study_id in [/home/takuji/project/study/controllers/studies_controller.php, line 28]
2010-05-27 07:53:53 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:53:53 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:53:53 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:54:23 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:54:23 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:54:23 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:54:24 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:54:24 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:54:24 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:57:52 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:57:52 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:57:52 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:59:02 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:59:02 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:59:02 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:59:11 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:59:11 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:59:11 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 07:59:20 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:00:09 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:00:09 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:00:09 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:00:41 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:00:41 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:00:41 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:01:34 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:01:34 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:01:34 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:01:52 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:01:52 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:01:52 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:02:38 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:02:38 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:02:38 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:02:59 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:02:59 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:02:59 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:03:03 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:03:03 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:03:04 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:03:15 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:03:15 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:03:15 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:03:22 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:03:22 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:03:22 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:04:32 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:04:32 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:04:32 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:04:35 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:04:35 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:04:35 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:04:41 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:04:41 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:04:41 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:04:44 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:07:07 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:07:07 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:07:07 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:07:09 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:07:38 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:07:38 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 08:07:38 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
